National Provider Identifier,Organization Name,Credentials,Gender,Entity Code,City,Zip Code,State Code,Country Code,Provider Type,Medicare Participation,Place of Service,HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Number of Services,Number of Medicare Beneficiaries,Number of Medicare Beneficiary/Day Services,Average Medicare Allowed Amount,Standard Deviation of Medicare Allowed Amount,Average Submitted Charge Amount,Standard Deviation of Submitted Charge Amount,Average Medicare Payment Amount
1598066045,PLANTE,PA,F,I,BALTIMORE,212373901,MD,US,Physician Assistant,Y,F,99284,"Emergency department visit, problem of high severity",N,14,14,14,102.47,0,305,0,81.98
1386699627,ALFORD,MD,M,I,FULTONDALE,350681962,AL,US,Internal Medicine,Y,O,20610,Aspiration or injection of large joint or joint capsule,N,13,12,13,62.89,0,87,0,49.69
1124089602,TORRES SERRANT,DPM,M,I,BAYAMON,9591201,PR,US,Podiatry,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,36,36,36,83.98,0,84.83,0,55.37
1336171917,TOUB,MD,M,I,NEW SMYRNA BEACH,321687327,FL,US,General Surgery,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,78,66,78,69.94,0,151,0,52.88
1669472106,BARTLETT,OD,M,I,STATESVILLE,286773222,NC,US,Optometry,Y,O,92014,"Eye and medical examination for diagnosis and treatment, established patient, 1 or more visits",N,212,211,212,113.75,0.29,113.82,0.69,77.76
1598720294,NEAL,D. O.,M,I,PENSACOLA,325146039,FL,US,Emergency Medicine,Y,F,99291,"Critical care delivery critically ill or injured patient, first 30-74 minutes",N,11,11,11,221.88,0,439,0,171.77
1922254622,LAWSON,MD,F,I,KNOXVILLE,379201527,TN,US,Geriatric Medicine,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,199,116,199,66.46,0,168,0,51.94
1285620120,VAN ES,MD,M,I,BRANDON,570051426,SD,US,Family Practice,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,71,33,71,68.23,0,184.48,0.5,54.58
1083631659,TAYLOR,D.O.,M,I,NEPHI,846488900,UT,US,Family Practice,Y,O,20610,Aspiration or injection of large joint or joint capsule,N,31,24,27,62.61,7.32,140,0,46.69
1780840983,DHINGRA,MD,M,I,SOUTH EUCLID,441216100,OH,US,Nephrology,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,12,12,12,68.61,0,125,0,54.89
1922040344,TYBINKOWSKA,P.T.,F,I,CONGERS,109201413,NY,US,Physical Therapist,Y,O,97001,Physical therapy evaluation,N,16,16,16,82.55,0,82.55,0,57.79
1285814319,NISAR,MBBS,F,I,COON RAPIDS,554333746,MN,US,Family Practice,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,55,39,55,102.31,0,264,0,67.84
1902827603,SALLOUM,MD,M,I,BILOXI,395322129,MS,US,Orthopedic Surgery,Y,O,73630,"X-ray of foot, minimum of 3 views",N,69,45,61,28.34,0.91,94,0,21.43
1730189598,GOLDFLIES,MD,M,I,CHICAGO,606462901,IL,US,Orthopedic Surgery,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,163,163,163,113.27,0,235,0,84.8
1033236401,ALBRITTON,MD,M,I,PEARL CITY,967822516,HI,US,Diagnostic Radiology,Y,F,93970,Ultrasound scan of veins of arms or legs including assessment of compression and functional maneuvers,N,15,15,15,34.24,0,35.85,0,25.56
1184791329,DEBELL,MD,M,I,TUSCALOOSA,354012086,AL,US,Internal Medicine,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,25,23,25,129.66,0,150,0,91.28
1184849739,AHMED,MD,M,I,DOVER,199043309,DE,US,Cardiology,Y,O,99211,"Established patient office or other outpatient visit, typically 5 minutes",N,20,18,20,20.29,0,51,0,13.8
1578568879,GASKINS,PA,M,I,SHELBYVILLE,400651660,KY,US,Physician Assistant,Y,F,99284,"Emergency department visit, problem of high severity",N,131,131,131,93.72,0,608.92,36.27,68.22
1669475760,KALLAB,MD,M,I,GAINESVILLE,305013861,GA,US,Hematology/Oncology,Y,O,99205,"New patient office or other outpatient visit, typically 60 minutes",N,32,32,32,188.5,0,521,0,150.8
1386610632,GLANCE,MD,M,I,ASHEVILLE,28801,NC,US,Internal Medicine,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,"1,983",913,"1,982",3,0,6.21,6.15,3
1841237955,SIMON,MD,M,I,LA JOLLA,920371223,CA,US,Urology,Y,O,99211,"Established patient office or other outpatient visit, typically 5 minutes",N,19,15,19,20.86,0,50,0,15.34
1336173129,KROGER LIMITED PARTNERSHIP I,O,O,O,BARBOURSVILLE,255041213,WV,US,Mass Immunization Roster Biller,Y,O,G0008,Administration of influenza virus vaccine,N,83,83,83,15.26,3.54,15.26,3.54,15.26
1124126909,KRECKMAN,MD,M,I,MENDOTA,613423013,IL,US,Family Practice,Y,O,96372,"Injection into tissue or muscle for therapy, diagnosis, or prevention",N,11,11,11,22.64,0,39.18,0.39,13.17
1801977731,WILLIAMS,MD,M,I,CHAPEL HILL,275176375,NC,US,Pediatric Medicine,Y,O,93000,Routine EKG using at least 12 leads including interpretation and report,N,19,18,19,17.75,0,74.89,17.3,12.71
1265423099,BOOKER,MD,F,I,NASHVILLE,372030807,TN,US,Family Practice,Y,O,80061,"Blood test, lipids (cholesterol and triglycerides)",N,155,99,155,14.24,1.97,47.32,1.25,13.9
1619059524,HOROWITZ,MD,M,I,ANN ARBOR,481095360,MI,US,Pulmonary Disease,Y,F,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,33,30,33,80.64,0,85,0,58.35
1245209642,MORANDI,D.O,M,I,BASKING RIDGE,79204700,NJ,US,Family Practice,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,14,14,14,117.2,0,209,0,65.59
1780610386,BUHR,MD,M,I,WICHITA,672063548,KS,US,Orthopedic Surgery,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,53,51,53,127.58,0,192,0,100.13
1629050257,RITTENHOUSE,D.O.,M,I,MARIETTA,17547,PA,US,Family Practice,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,272,130,272,100.25,0,212,0,60.4
1235223603,ALLEN,MD,F,I,ALBUQUERQUE,871064921,NM,US,Cardiology,Y,F,99204,"New patient office or other outpatient visit, typically 45 minutes",N,12,12,12,123.88,0,155,0,99.1
1013904358,WALKER,MD,M,I,GREENVILLE,278344300,NC,US,Hematology/Oncology,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,66,20,66,96.79,0,201.98,5.77,77.43
1770570947,FELDMAN,MD,M,I,JOHNSON CITY,137902107,NY,US,Emergency Medicine,Y,F,99291,"Critical care delivery critically ill or injured patient, first 30-74 minutes",N,25,25,25,208.89,0,1109,0,167.11
1659529279,HALL,D.O.,F,I,TULSA,741072705,OK,US,Family Practice,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,21,21,21,96.41,0,178.36,0,52.29
1760402119,RESK,MD,M,I,BULLHEAD CITY,86442,AZ,US,Internal Medicine,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,160,60,160,99.52,0,120,0,79.62
1477508679,MCQUADE,MD,M,I,NEW BERN,285625201,NC,US,Internal Medicine,Y,O,93306,"Ultrasound examination of heart including color-depicted blood flow rate, direction, and valve function",N,256,252,256,200.36,0,1100,0,152.45
1265438907,WEISS,MD,M,I,OAK PARK HEIGHTS,550822177,MN,US,Orthopedic Surgery,Y,O,20610,Aspiration or injection of large joint or joint capsule,N,128,104,123,72.52,15.67,273.67,92.56,57.89
1457500316,NEWELL,PA-C,F,I,KINGS MOUNTAIN,280863362,NC,US,Physician Assistant,Y,O,83036,Hemoglobin A1C level,N,54,41,54,13.75,0,36.56,18.54,13.75
1265405161,STATHOPOULOS,MD,M,I,STATEN ISLAND,103101809,NY,US,Internal Medicine,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,19,19,19,95,0,95,0,61.26
1548272529,PARRY,MD,M,I,MELBOURNE,329402239,FL,US,Orthopedic Surgery,Y,O,73030,"X-ray of shoulder, minimum of 2 views",N,18,17,18,31.96,0,48,0,23.08
1396730206,RAMESH,MD,F,I,SOUTHFIELD,480345544,MI,US,Internal Medicine,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,205,146,205,73.22,0,126,0,58.58
1952537268,COSTA,MD,F,I,CHICAGO,606313707,IL,US,Emergency Medicine,Y,F,99284,"Emergency department visit, problem of high severity",N,57,56,57,112.01,0.93,650.63,32.75,88.42
1508999848,TURNER,MD,M,I,BIRMINGHAM,352940012,AL,US,Otolaryngology,Y,F,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,20,19,20,23.56,0,94.1,2.86,18.85
1982694774,KORBIN,MD,M,I,PUTNAM,62601836,CT,US,Diagnostic Radiology,Y,F,73560,"X-ray of knee, 1 or 2 views",N,29,24,24,9.62,0.29,48.31,3.26,6.88
1437132644,MARULL,MD,M,I,DALLAS,752356209,TX,US,Anesthesiology,Y,F,740,Anesthesia for procedure on gastrointestinal tract using an endoscope,N,73,70,73,75.57,8.69,904.11,112.6,59.77
1568612901,BMH NORTH MISSISSIPPI IMAGING SERVICES LLC,O,O,O,OXFORD,386555397,MS,US,Clinical Laboratory,Y,O,80061,"Blood test, lipids (cholesterol and triglycerides)",N,101,77,101,10.08,2.4,212.87,17.98,10.08
1467426510,MORGAN,CRNA,F,I,ABINGTON,190013720,PA,US,CRNA,Y,F,740,Anesthesia for procedure on gastrointestinal tract using an endoscope,N,16,16,16,90.03,16.19,886.88,165.9,72.02
1164511580,WAHEED,MD,M,I,BOURBONNAIS,609142317,IL,US,Family Practice,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,19,17,19,135.73,0,187,0,102.87
1083790653,YEE,MD,M,I,KIHEI,967538268,HI,US,Family Practice,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,47,44,47,148.21,0,171.12,1,83.41
1881699262,MOSKOS,MD,M,I,LUBBOCK,794101835,TX,US,Diagnostic Radiology,Y,F,73560,"X-ray of knee, 1 or 2 views",N,83,66,69,9.1,0,49,0,7.28
1457341281,ALCORN,MD,M,I,MADISON,472507328,IN,US,Internal Medicine,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,"1,893",551,"1,893",98.42,2.89,152.71,18.05,73.65
1295848182,SIDDIQUI,MD,M,I,HANOVER,17331,PA,US,Internal Medicine,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,796,125,796,99.25,0,105.68,4.23,68.64
1659569184,HANGGE,FNP,F,I,PHOENIX,850446092,AZ,US,Nurse Practitioner,Y,O,G0008,Administration of influenza virus vaccine,N,65,63,65,20.88,0.69,20.88,0.69,20.88
1467416172,KOCH,MD,M,I,VALHALLA,10595,NY,US,Plastic and Reconstructive Surgery,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,14,11,14,46.27,1.98,96.16,37.35,31.75
1760460356,HOLTZMEIER,D.O,M,I,WESTLAKE,441452415,OH,US,Family Practice,Y,O,99308,"Subsequent nursing facility visit, typically 15 minutes per day",N,268,39,268,64.84,0,85,0,42.33
1669498366,WU,DPM,M,I,MOSES LAKE,988372238,WA,US,Podiatry,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,118,118,118,105.14,0,234.39,6.84,76.07
1861546764,SWENSON,MD,M,I,LOS ANGELES,900951778,CA,US,Anesthesiology,Y,F,740,Anesthesia for procedure on gastrointestinal tract using an endoscope,N,22,22,22,167.61,39.18,766.82,169,134.09
1770665937,HONSA,MD,M,I,CHARLOTTE,282035812,NC,US,Internal Medicine,Y,F,99291,"Critical care delivery critically ill or injured patient, first 30-74 minutes",N,31,22,31,209.81,0.01,778.84,103.7,167.85
1861463275,WENDER,MD,M,I,SIOUX CITY,511011733,IA,US,Hematology/Oncology,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,379,204,379,38.61,0,64,0,29.85
1265423313,STEWART,MD,M,I,OPELIKA,368015442,AL,US,Dermatology,Y,O,99202,"New patient office or other outpatient visit, typically 20 minutes",N,81,81,81,66.55,0,76.58,0.81,45.16
1427126390,WILLIAMS JUDGE,ARNP,F,I,SEATTLE,981043556,WA,US,Nurse Practitioner,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,26,24,26,63.99,0,105,0,49.8
1669537197,VANDYCK,MD,M,I,ATHENS,306071400,GA,US,Endocrinology,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,82,42,54,67.57,0,90,0,52.68
1942398219,WALLIA,MD,F,I,CLAIRTON,150253716,PA,US,Nephrology,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,20,16,20,98.14,0,135,0,78.51
1235340522,APPENZELLER,MD,M,I,BURLINGTON,272159714,NC,US,Ophthalmology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,75,56,75,99.38,0.31,109.79,22.53,74.61
1427092915,LEVINE,MD,M,I,MIAMI,331251673,FL,US,Emergency Medicine,Y,F,99285,"Emergency department visit, problem with significant threat to life or function",N,98,98,98,188.22,0,870,0,150.15
1568571560,MARASCALCO,MD,M,I,GRENADA,389014086,MS,US,Dermatology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,50,45,50,95.77,0.23,97.75,7.46,70.45
1639246671,GROBE,MD,M,I,NAPERVILLE,60540,IL,US,Family Practice,Y,O,81003,Automated urinalysis test,N,23,19,23,3.18,0,18.7,1.43,3.18
1881735611,KNIGHT,PA-C,M,I,CHARLESTON,294035736,SC,US,Physician Assistant,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,153,141,153,56.2,0,113,0,39.3
1962417345,GIZAW,PA-C,M,I,SEATTLE,981042499,WA,US,Physician Assistant,Y,F,99283,"Emergency department visit, moderately severe problem",N,105,101,105,51.84,1.12,209.82,19.12,37.07
1578590253,STEVENS,D.O.,M,I,OOLTEWAH,373637043,TN,US,Emergency Medicine,Y,F,93010,Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,N,85,78,84,8.11,0.05,67.59,2.93,6.33
1891787099,GWIZDALA,MD,F,I,TRAVERSE CITY,496847943,MI,US,Internal Medicine,Y,O,G0009,Administration of pneumococcal vaccine,N,18,18,18,22.8,0,32,0,22.8
1942409388,IYER,MD,F,I,KENT,980306443,WA,US,Internal Medicine,Y,F,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,268,130,268,79.45,0,103.94,18.41,55.3
1164519104,RAMU,MD,M,I,JOHNSON CITY,376046062,TN,US,Cardiac Electrophysiology,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,21,21,21,149.77,0,235.71,26.24,119.82
1821019282,JAMES,MD,M,I,FRANKLINTON,704383633,LA,US,Family Practice,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,"1,004",384,"1,004",65.54,0,90,0,43.07
1871563817,"CRABTREE, JR.",MD,M,I,AVON,27915,NC,US,Family Practice,Y,O,99211,"Established patient office or other outpatient visit, typically 5 minutes",N,24,14,24,18.67,0,45,0,13.07
1023264371,DEDHIA,MD,F,I,CHICAGO,606125500,IL,US,Internal Medicine,Y,O,G0008,Administration of influenza virus vaccine,N,49,49,49,25.63,0,45,0,25.63
1982613568,DURRENCE,PT,M,I,GLENNVILLE,30427,GA,US,Physical Therapist,Y,O,97140,"Manual (physical) therapy techniques to 1 or more regions, each 15 minutes",N,312,56,283,24.77,0.3,65,0,19.55
1114993060,ELKINS,MD,M,I,MOUNTAIN HOME,726532937,AR,US,Cardiac Surgery,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,74,74,74,124.01,0,214,0,94.3
1154481539,MENON,MD,F,I,WADING RIVER,117922137,NY,US,Internal Medicine,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,11,11,11,120.69,0,123.49,8.38,80.81
1134124639,NEVILLE,MD,M,I,LONGVIEW,986322310,WA,US,Neurology,Y,F,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,48,29,48,49.04,0,70,0,34.33
1003811779,DRESSLER,MD,M,I,SPRINGFIELD,371722815,TN,US,Family Practice,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,20,20,20,96.49,0,100,0,57.01
1629038526,ROSENBERG,MD,M,I,NOVI,483772977,MI,US,Internal Medicine,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,21,19,21,3,0,6,0,3
1972507259,BERTSCH,MSN-CRNP-ADULT,F,I,BOLIVIA,284227582,NC,US,Nurse Practitioner,Y,O,Q2038,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)",Y,129,129,129,12.25,0.47,14.93,0.45,12.25
1932255395,PUSTAVOITAU,MD,M,I,BALTIMORE,212870005,MD,US,Anesthesiology,Y,F,99291,"Critical care delivery critically ill or injured patient, first 30-74 minutes",N,77,27,77,228.76,0,640,0,181.23
1740260058,MAGALDI,MD,M,I,TORRINGTON,6790,CT,US,Rheumatology,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,13,11,13,206.8,0,275,0,156.82
1336446574,BELL,ARNP,F,I,FORT WORTH,761775315,TX,US,Nurse Practitioner,Y,O,80061,"Blood test, lipids (cholesterol and triglycerides)",N,29,28,29,18.97,0,30,0,18.97
1659539195,JUNN,MD,F,I,ANNANDALE,220033227,VA,US,Internal Medicine,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,199,89,199,48.44,0,90,0,36.87
1083706758,BUFFORD,MD,M,I,AUBURN,36830,AL,US,Family Practice,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,182,92,182,3,0,15,0,2.97
1912965468,CODY,MD,F,I,AGAWAM,10011838,MA,US,Internal Medicine,Y,O,Q2038,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)",Y,104,102,104,12.62,0.63,23,0,12.62
1518052547,PATEL,MD,M,I,PALM COAST,321378683,FL,US,Family Practice,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,189,189,189,105.08,0,194.63,5.08,64
1144207952,SCHINI,O,F,I,ST LOUIS PARK,55416,MN,US,Dermatology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,159,123,159,69.17,0,146,0,43.25
1902922305,HAYES,MD,M,I,KANSAS CITY,661600001,KS,US,Family Practice,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,59,58,59,102.1,0,173.46,3.52,62.57
1902996309,BOTERO,MD,M,I,JENKINTOWN,190462852,PA,US,Internal Medicine,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,68,63,68,141.17,0,208,0,112.94
1285718247,OLIVARES,PT,M,I,WESTBURY,115906314,NY,US,Physical Therapist,Y,O,97001,Physical therapy evaluation,N,22,22,22,78.97,0.86,83,0.33,63.17
1316020332,CHRISTENSEN,MD,M,I,DALLAS,752046251,TX,US,Internal Medicine,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,30,30,30,140.83,0,245,0,84.07
1851339170,GONZALEZ,MD,F,I,ATLANTA,303421786,GA,US,Cardiology,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,404,139,404,100.39,0.17,254.83,21.34,79.72
1144294554,KACIAN,PA-C,M,I,CLEVELAND,441133108,OH,US,Physician Assistant,Y,F,99204,"New patient office or other outpatient visit, typically 45 minutes",N,62,62,62,107.25,0,149.6,1.36,84.42
1417943366,KOTZ,MD,M,I,BASALT,816218304,CO,US,Family Practice,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,12,12,12,138.14,0,348,0,101.3
1699970806,HETZEL,D.O.,M,I,DODGE CITY,67801,KS,US,Family Practice,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,17,15,17,67.15,0,94.12,4.92,53.72
1285876680,BOHN,NP,F,I,JACKSON,492011847,MI,US,Nurse Practitioner,Y,O,85610,"Blood test, clotting time",N,26,11,26,5.56,0,32,3.37,5.56
1912971052,TETTEH,MD,M,I,BOSTON,21143117,MA,US,Internal Medicine,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,19,19,19,203.21,0,685.63,8.97,158.73
1922155506,GUTIERREZ,MD,M,I,DEL RIO,788405807,TX,US,Family Practice,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,497,290,497,98.6,0.49,111.04,21.91,76.19
1376829606,O'DONNELL,CRNP,F,I,READING,196059453,PA,US,Nurse Practitioner,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,46,34,46,85.21,0,269,0,60.35
1215923586,SARBER,MD,F,I,FREDERICKSBURG,224084235,VA,US,Internal Medicine,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,49,49,49,155.37,0,232,0,99.24
1922073949,DOUEDI,MD,M,I,TOMS RIVER,87557378,NJ,US,Cardiology,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,199,190,199,204.84,7.89,300,0,161.94
1386616571,FEBRY,MD,M,I,NEW ORLEANS,701154734,LA,US,Internal Medicine,Y,F,99220,Hospital observation care typically 70 minutes,N,26,26,26,176.2,0,296.07,19.02,136.31
1417147406,VISCHIO,MD,M,I,HARTFORD,61065501,CT,US,Internal Medicine,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,55,55,55,172.2,0,285.45,18.88,124.07
1013082734,BOOK,DC,M,I,MONCKS CORNER,294613153,SC,US,Chiropractic,Y,O,98941,"Chiropractic manipulative treatment, 3 to 4 spinal regions",N,111,21,111,33.72,0,45,0,22.5
1083767727,DRAKE,D.C.,M,I,CHERRY VALLEY,610169372,IL,US,Chiropractic,Y,O,98941,"Chiropractic manipulative treatment, 3 to 4 spinal regions",N,829,84,829,34.55,0,55,0,26.29
1689645707,BORMANN,MD,M,I,FORT WAYNE,468189701,IN,US,Diagnostic Radiology,Y,F,72100,"X-ray of lower and sacral spine, 2 or 3 views",N,102,97,98,10.95,0.08,44,0,8.09
1235338823,PATEL,MD,F,I,NEW YORK,100296500,NY,US,Infectious Disease,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,20,14,20,78.83,0,190,0,58.52
1518291756,RAMSEY,OD,F,I,LILLINGTON,275468968,NC,US,Optometry,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,65,45,65,67.06,0.91,70.66,1.36,47.63
1417077900,SWANSON,MD,M,I,LINCOLN,685102471,NE,US,Orthopedic Surgery,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,12,12,12,124.48,0,239,0,93.71
1740389790,FRIES,MD,F,I,CINCINNATI,452464137,OH,US,Family Practice,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,31,30,31,132.2,0,202,0,102.86
1821018185,MCGUIRE,MD,M,I,SKOKIE,600771384,IL,US,Urology,Y,F,99204,"New patient office or other outpatient visit, typically 45 minutes",N,88,88,88,139.73,0,228.76,2.39,108.87
1316905177,KRAININ,MD,M,I,FLORENCE,295062716,SC,US,Cardiology,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,495,317,363,66.67,0,103.98,24.49,52.66
1942298187,CUROSH,MD,F,I,PORTLAND,972132991,OR,US,Internal Medicine,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,323,130,323,104.27,0,217,0,72.52
1689698284,MADDOCKS-CHRISTIANSON,MD,F,I,COLUMBUS,432101280,OH,US,Hematology,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,33,30,33,68.61,0,160,0,51.78
1609864925,PARRA-DAVILA,MD,M,I,CELEBRATION,347475433,FL,US,Colorectal Surgery (formerly proctology),Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,195,125,195,69.94,0,131,0,50.73
1194781229,KRSZJZANIEK,MD,M,I,BARABOO,539133319,WI,US,Family Practice,Y,O,G0009,Administration of pneumococcal vaccine,N,19,19,19,23.29,0,24,0,23.29
1336137314,NEMETH,MD,M,I,JOLIET,604355487,IL,US,Family Practice,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,150,94,150,74.26,0,197,0,58.91
1629003736,ROSE,PA-C,M,I,HARRISON,72601,AR,US,Physician Assistant,Y,O,73630,"X-ray of foot, minimum of 3 views",N,51,33,49,23.27,3.43,93.49,19.96,17.49
1194790857,ABRAHAM,MD,M,I,CRYSTAL RIVER,344297572,FL,US,Internal Medicine,Y,F,99231,"Subsequent hospital inpatient care, typically 15 minutes per day",N,23,16,23,38.73,0,49,0,30.98
1316934847,WATTS,FNP-C,F,I,BELMONT,280125205,NC,US,Nurse Practitioner,Y,O,72100,"X-ray of lower and sacral spine, 2 or 3 views",N,16,14,16,24.58,1.39,64.56,6.05,17.24
1750312427,KARAPETIAN,MD,M,I,LOS ANGELES,900291234,CA,US,Internal Medicine,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,55,47,55,204.91,0,222,0,163.93
1730124256,BIDIC,MD,M,I,VINELAND,83606933,NJ,US,Plastic and Reconstructive Surgery,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,46,41,46,75.68,0,735.85,20.66,56.78
1669486700,CIPRIANO,MD,M,I,SAN JOSE,95128,CA,US,Interventional Radiology,Y,F,93880,Ultrasound scanning of head and neck vessel blood flow (outside the brain),N,96,96,96,33.2,0,134.95,0.51,26.56
1740270693,WEINHAUS,MD,M,I,QUINCY,21690931,MA,US,Ophthalmology,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,98,83,98,46.19,0,90,0,33.55
1760439871,THEARD,MD,M,I,CULVER CITY,902322751,CA,US,Internal Medicine,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,214,68,214,149.01,0,180,0,108.11
1467437574,WARNER,MD,M,I,TEXAS CITY,775914047,TX,US,Infectious Disease,Y,F,99231,"Subsequent hospital inpatient care, typically 15 minutes per day",N,44,26,44,37.95,0.16,80,0,30.36
1245223114,MOORE,MD,M,I,DOTHAN,363014754,AL,US,Orthopedic Surgery,Y,O,73130,"X-ray of hand, minimum of 3 views",N,49,37,40,29.58,5.19,99,0,23.4
1588690747,MONCHIK,MD,M,I,FALL RIVER,27205923,MA,US,General Surgery,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,25,24,25,107.19,0,200,0,83.52
1134134604,UMLAND,MD,M,I,ALBUQUERQUE,871310001,NM,US,Family Practice,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,13,11,13,3,0,16,0,3
1588637094,DHALIWAL,MD,F,I,PITTSBURGH,152132548,PA,US,Ophthalmology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,112,78,112,67.7,0,137,0,45.46
1033103072,WEIX,MD,M,I,IRVING,750633707,TX,US,Obstetrics/Gynecology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,40,21,40,70.96,0,100,0,48.69
1114921772,JERGENSON,ARNP,F,I,CLINTON,527322241,IA,US,Nurse Practitioner,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,28,21,28,82.19,0,96.69,0,57.2
1588600696,GASSNER,MD,M,I,GREEN BAY,54303,WI,US,Diagnostic Radiology,Y,F,71020,"X-ray of chest, 2 views, front and side",N,597,516,597,10.29,0,71,0,8.08
1104038249,DONEGAN,MD,M,I,SAINT LOUIS,631418222,MO,US,Internal Medicine,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,225,75,225,99.49,0,224,0,78.73
1457359978,BAGHERI,MD,M,I,CEDAR RAPIDS,524032404,IA,US,Rheumatology,Y,O,J3301,"Injection, triamcinolone  acetonide, not otherwise specified, 10 mg",Y,510,71,89,1.69,0.02,7.5,0,1.35
